source_id,ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,mg
5404813925083953792,148.79119765661363,-52.28588832739211,-53.621044986336074,0.8502165977963427,11.675798811512374,450.76358,15.405752,17.008179,14.178081,2.8300982,10.74218519674757
5404824370444317184,148.97612492279882,-52.0398256540584,64.95855887826694,-138.93737274001722,12.642122158167014,1113.6215,11.6840105,12.421698,10.8505125,1.5711851,7.193110418217465
5882318630950423424,235.7800576008149,-58.214945894119865,-211.18126461470845,-109.44544828239019,14.031359584132163,852.00806,13.290769,14.53771,12.181235,2.3564749,9.026267395913209
5405172949981373696,150.16798515857374,-51.79353379070406,104.57596270903598,-84.5987610630718,13.134868735039607,1164.5046,12.351981,13.29658,11.381381,1.9151993,7.9441098478615295
5404834162969043328,148.3929345914816,-52.10021293687556,8.68340371344005,-29.40697904049277,10.488541970277613,740.3143,13.758627,14.861368,12.716968,2.1444006,8.862202539809726
5404848933339558016,149.02731894823518,-51.898373826162185,27.767618667148586,-10.528831249714845,11.450096024114172,188.54726,17.033312,18.95416,15.736313,3.2178478,12.32735748798001
5404985277091744384,150.18982944671168,-51.801662080503,104.45425793428916,-84.65284497641544,12.972473759872019,168.48225,17.165997,19.261564,15.80515,3.4564142,12.731110555997635
5882383502116753536,235.57815720221876,-57.79523676662531,35.6606594257534,-115.07047904251908,16.063278611195717,90.76278,18.606447,18.979689,17.878563,1.1011257,14.63561818029956
5329785725496822400,131.41539888648896,-46.50355764286468,-62.375853786884555,68.82643498390199,12.240237976102682,547.72284,10.793095,11.465101,10.006498,1.4586029,6.232043942482122
5329678591833370240,132.16561069918072,-46.600038509586426,28.308561474037923,-42.28932840704888,10.17708431545681,195.7051,16.9732,18.752373,15.691027,3.061346,12.011316707310904
5329801084301520768,130.69675477044797,-46.806883524915015,-94.85564013228607,85.37183659783096,12.226172297608674,793.63947,6.84618,6.980383,6.5816483,0.39873457,2.282632521166512
5329580357345457664,131.82975224440003,-46.880551182024625,-122.80900674778793,-360.3286222183017,60.67085484552926,3010.6272,10.525052,11.910416,9.359725,2.5506907,9.43995264135578
5329693469600834304,132.30611144551028,-46.192676989801676,-54.30431343402523,55.0331987917244,10.753988951588262,857.68146,8.78698,9.0812235,8.32605,0.7551737,3.94482760507662
5329815064406612352,130.96863086703323,-46.49912308934461,-79.15263764658624,52.792641125053194,15.081869317914268,1256.5773,8.720998,9.02269,8.248884,0.7738056,4.613273677230728
5329716799865440384,132.3673106288515,-46.17222813796084,-63.709418811656356,6.749188436506008,10.782198242716412,788.92236,11.418234,11.993811,10.706469,1.2873421,6.581770434227412
5329497928331118080,132.45993511190412,-47.32895879247358,-3.046441555390601,104.80977968323313,10.431783015984022,178.79427,17.156565,19.152975,15.829451,3.3235245,12.24835743769751
5329604615314758400,132.83931202809424,-46.86847741311913,-137.17949011380642,165.0579246172459,15.041293608351628,395.88406,16.35179,18.298918,15.043738,3.2551794,12.238215418667483
5329512977896453248,132.3197175218601,-47.1146250492363,86.34312790579227,95.83257607346016,23.752250897441243,688.0232,15.7557745,17.761328,14.438297,3.3230305,12.634298358530774
5329630316400163072,133.10501100337652,-46.694773672726896,-44.85074271732228,0.550804930016023,10.380370568836387,479.6247,14.965485,16.465263,13.772121,2.693142,10.046548907477458
5329751125239019392,130.79417390943064,-46.99125024145183,540.3055513337912,-637.1045589732616,64.27255281530275,4486.9697,13.125737,14.972417,11.84664,3.1257772,12.165864939338142
5329536170720516608,131.3030869261865,-47.439211870802914,-105.4835325818861,73.61077910092466,15.610816806341097,469.9635,16.046131,17.923973,14.750253,3.1737204,12.01325927048756
5329779059707774720,131.57449995258003,-46.524996311404166,-175.48523972813544,213.3465494703368,14.431709221748282,978.4613,14.237112,15.583312,13.091892,2.4914198,10.033700894662125
5329921240299992704,132.5101690323335,-45.69492044550851,-22.041146117672792,-1.0642181071094516,14.110792945563166,834.2494,9.325249,9.686735,8.79442,0.8923149,5.073005814746601
5329427009830682880,130.42839016392392,-46.9368465639459,-19.413291170309947,44.005964801559834,12.307796089427205,774.47577,14.434917,15.784684,13.289455,2.4952288,9.885818912052297
5329986008408566528,132.26393096432182,-45.46978141759635,-60.7701879372607,39.204683140446875,11.911541685722915,374.54788,15.953502,17.635378,14.701904,2.9334736,11.333341576053286
5330010232011750912,134.97811107217692,-48.119558525602926,-152.75710903184455,53.89960547534986,10.969160204879618,957.004,10.824464,11.256247,10.224612,1.0316343,6.025330741358054
4321067060669147648,289.7810983885857,15.896836106763418,-38.75163455516774,-79.97560272812117,11.763922482014662,433.36752,15.114468,16.52552,13.95495,2.57057,10.467228391224957
4321151242031985280,289.18617263152305,16.221441084861393,59.699349322978435,60.34066400427937,10.735813710093046,576.669,14.3387,15.524806,13.259966,2.2648401,9.492875129138703
4321078017103000192,289.7597012217948,16.04475477589332,-124.64085562971634,-175.36523317155365,24.47730131763429,433.5539,16.972095,17.251846,16.542791,0.70905495,13.915913159919683
4321154334408659200,289.2876813332095,16.36036072903778,-192.86112592468257,177.72703450589194,26.734142309000237,1074.5889,15.102563,16.795721,13.861769,2.9339523,12.23789418197201
5876112300125320448,227.68470467666333,-61.42237639057999,-185.60638169448532,-12.142491895945577,41.619757797978004,2060.0105,6.14853,6.4514318,5.6776595,0.77377224,4.24502774915678
4320979679528935424,289.09838734043615,15.662184269679265,47.1832888901919,8.182522775983902,17.42708080264207,1395.2012,12.045573,13.013051,11.071048,1.9420033,8.251696458839685
4321170827084022912,289.68766161357325,16.48642928521722,-19.957254167874655,-13.66890634262207,27.376976004542644,1692.6389,12.362372,13.566934,11.242819,2.3241148,9.549299774950324
4321170827084026368,289.6880297513901,16.488313951888216,-30.9527627856007,-10.907856248447551,27.559553910282855,960.61365,6.890586,7.150831,6.459591,0.6912403,4.091946817513822
4321198314875135872,289.82121960046703,16.823705578758315,44.99726667926675,16.67248292829515,11.627127689662682,1002.9694,11.893642,12.60741,11.078212,1.5291986,7.2210046352083594
5876058973826613632,231.17197295340193,-59.34196435904056,-49.15311819217023,-98.00440924670056,10.00893622432846,380.5185,15.1222925,16.518755,13.949122,2.5696325,10.12423212856271
4320952230454625536,289.0602368744511,15.558392349675804,-18.769198783985956,-76.78796534449268,12.57310539692304,206.00735,9.388814,9.8332405,8.775906,1.0573349,4.886026753179609
4320952230455020544,289.05804279392106,15.556616577730722,-23.27038449978725,-78.05291201115399,12.65092419784955,717.97626,10.51319,11.032945,9.842013,1.1909313,6.023801537094592
5940089166515330560,252.06304845694513,-46.047414738038505,-76.68171076632373,109.15538030371334,11.94474381390737,420.7279,14.952939,16.207321,13.84815,2.359171,10.338823231564618
5940238085922972672,251.93090333973382,-45.31841748555018,-74.65864139106719,-132.26306178154752,12.005047538880234,452.04996,14.870102,16.226017,13.686751,2.5392656,10.266921349523514
5940117307137542912,252.90852313637495,-46.25624919045278,-6.670007006338455,-144.1358717631761,11.646167777315453,168.53246,16.81455,18.728855,15.508348,3.2205067,12.14546561158614
5940125282898716288,252.5588068948017,-46.28690003432695,-39.34523494870344,-88.28005654383466,17.580795794722317,945.53436,12.765571,13.922731,11.6949415,2.2277899,8.990763288176083
5940254338116222208,248.9454130975914,-51.006807292817335,18.379452163880984,30.84124759560269,18.898654621837448,1205.757,13.206471,14.44121,12.099581,2.341629,9.58862588438399
5940183557016963712,252.02308456124555,-45.94502338806989,-0.49001722658906033,-24.16692913652431,12.558596472741488,168.9451,6.599771,6.784342,6.2669535,0.51738834,2.094476553320387
5940044808094112640,251.76529369904412,-46.67453542319619,0.9814288759276787,6.591899836116921,12.050061203136135,262.42245,15.888002,17.446835,14.669214,2.7776203,11.292948659278423
5940188092502030720,252.30774712993852,-45.843102908707245,6.942387527097173,-31.327352886767486,10.829788134244248,636.00055,10.549756,10.973377,9.961641,1.0117359,5.722855852613819
5940199942311104640,251.81377146448773,-45.82560922304023,-82.66586743413707,-116.4420155128982,11.167128906105193,52.641365,18.85637,19.101437,18.621248,0.48018837,14.096078572809823
5940063950778914304,251.77683090247837,-46.476507614856295,-16.586976321350463,-21.167402110135203,11.822381972716133,411.6263,15.076847,16.514116,13.906402,2.6077147,10.440372011336116
5940322782711017472,248.3959572420709,-50.74132902053019,66.76012626298308,56.51363749323487,13.111093832456708,483.58655,15.054098,16.302155,13.950648,2.3515062,10.64229275690041
5940340409257862144,248.1006783156832,-50.54114617663219,-78.26523117926425,-134.7755499161805,18.632017217583194,359.98444,15.85015,17.718609,14.533867,3.184742,12.201449492598346
5940350334886421888,248.12777548799073,-50.290615521836344,-71.41702079549937,-83.44663370397774,10.079845315673753,61.51385,18.262363,18.538397,17.83331,0.70508766,13.279632771436624
5940361746656346624,248.60628364362773,-50.17206051625986,10.864370050009882,-34.449901256813526,10.207385883898349,547.2137,13.281477,14.313567,12.269746,2.0438213,8.326049641062639
4271829624282597248,278.9787063931332,-1.4334907527463001,-22.966339436331957,-31.307400956752158,11.20500115627066,290.97247,15.926003,17.498571,14.713478,2.7850933,11.173062984550526
4271842577903199744,279.5938561991136,-1.3748737116364815,-13.21364000588968,-85.20767444867661,10.801355151980008,545.6841,14.213435,15.348145,13.155882,2.1922626,9.380826403296421
4271864396337363712,279.3356724154686,-1.1737679301071982,-56.20830289641085,-59.59337235867755,11.149407142873226,198.99564,16.21972,17.846153,14.987027,2.859126,11.455979714853001
4271868760024100864,279.57900450906186,-1.112994088601787,-37.49354378086108,-0.6715729854034578,10.121101495509173,304.04993,6.540122,6.7528152,6.1703277,0.5824876,1.5662609323274435
4271868794383842048,279.58324513217383,-1.1023859038972383,-35.92421113057654,-1.6911493657041838,10.209932110501546,232.11777,14.911908,16.363255,13.726722,2.6365328,9.957022421303357
4271669061224534400,278.34563175266345,-2.2690401044776953,-40.62796586919337,-100.52550698983549,12.89499376547633,151.0936,16.883438,18.732113,15.587757,3.1443558,12.435543792849348
